time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,0.22,-0.38,0.98,27.6,22.93,-0.66
3.3333333333333333e-06,0.21,-0.36,1.01,17.53,19.92,-1.27
6.666666666666667e-06,0.22,-0.36,0.99,9.27,17.62,-4.26
9.999999999999999e-06,0.25,-0.36,0.88,9.6,20.38,-3.8
1.3333333333333333e-05,0.26,-0.36,0.9,10.93,21.04,-1.54
1.6666666666666667e-05,0.24,-0.36,0.93,10.58,14.63,0.31
2e-05,0.22,-0.37,0.93,10.56,8.31,0.2
2.3333333333333336e-05,0.24,-0.38,0.9,12.92,8.2,0.34
2.666666666666667e-05,0.23,-0.37,0.94,12.96,8.84,-0.35
3.0000000000000004e-05,0.22,-0.35,0.96,12.18,9.27,-1.71
3.3333333333333335e-05,0.22,-0.35,0.99,8.03,8.82,-1.83
3.6666666666666666e-05,0.22,-0.34,1.0,5.68,4.58,-1.01
3.9999999999999996e-05,0.23,-0.35,0.94,6.99,0.75,-0.2
4.333333333333333e-05,0.23,-0.36,0.9,11.97,1.3,-0.4
4.666666666666666e-05,0.22,-0.35,0.92,13.85,0.87,-0.46
4.999999999999999e-05,0.26,-0.33,0.92,14.75,7.76,-0.24
5.333333333333332e-05,0.27,-0.33,0.93,14.29,17.36,2.49
5.666666666666665e-05,0.24,-0.33,0.95,13.01,18.43,3.88
5.999999999999998e-05,0.25,-0.33,0.92,14.81,18.61,6.78
6.333333333333332e-05,0.2,-0.34,0.96,14.18,15.68,6.79
6.666666666666666e-05,0.17,-0.34,0.98,12.66,12.95,6.92
7e-05,0.18,-0.32,0.96,12.63,13.6,5.77
7.333333333333333e-05,0.15,-0.34,0.92,14.93,13.51,3.63
7.666666666666667e-05,0.12,-0.32,0.98,14.06,10.98,1.79
8e-05,0.13,-0.32,1.04,8.82,7.86,-0.34
8.333333333333334e-05,0.18,-0.33,0.95,8.84,12.81,-0.09
8.666666666666668e-05,0.15,-0.33,0.93,10.5,9.15,-0.99
9.000000000000002e-05,0.15,-0.34,0.9,14.31,5.69,-1.62
9.333333333333336e-05,0.16,-0.32,0.95,14.17,3.8,-2.52
9.66666666666667e-05,0.16,-0.32,0.99,11.68,2.34,-4.05
0.00010000000000000003,0.17,-0.32,0.97,13.47,3.15,-4.93
0.00010333333333333337,0.2,-0.3,0.99,11.95,4.7,-3.76
0.00010666666666666671,0.2,-0.29,1.01,9.42,6.34,-2.46
0.00011000000000000004,0.16,-0.29,1.0,8.63,5.88,-3.3
0.00011333333333333338,0.17,-0.29,1.0,7.76,3.66,-3.13
0.00011666666666666672,0.2,-0.3,0.99,7.27,1.39,-2.35
0.00012000000000000006,0.21,-0.3,0.93,10.75,2.53,-1.01
0.0001233333333333334,0.21,-0.29,0.94,13.01,2.95,1.62
0.00012666666666666672,0.23,-0.28,0.93,16.87,4.81,5.1
0.00013000000000000004,0.23,-0.28,0.91,21.31,3.85,7.51
0.00013333333333333337,0.23,-0.29,0.92,22.63,6.08,11.94
0.0001366666666666667,0.21,-0.27,1.0,16.92,2.89,13.71
0.00014000000000000001,0.16,-0.26,1.0,11.4,6.23,11.47
0.00014333333333333334,0.06,-0.26,0.98,6.93,6.82,3.02
0.00014666666666666666,0.09,-0.24,0.97,3.65,12.69,-4.7
0.00015,0.15,-0.25,0.95,3.07,15.02,-4.58
0.0001533333333333333,0.19,-0.26,0.93,5.63,10.0,-0.49
0.00015666666666666663,0.13,-0.27,0.98,3.08,1.15,-0.63
0.00015999999999999996,0.13,-0.26,0.94,3.57,5.4,-3.11
0.00016333333333333328,0.13,-0.25,0.95,3.86,10.02,-5.45
0.0001666666666666666,0.16,-0.26,0.93,6.73,6.52,-4.34
0.00016999999999999993,0.16,-0.26,0.94,8.29,1.83,-2.56
0.00017333333333333325,0.15,-0.25,0.94,9.08,0.6,-2.47
0.00017666666666666658,0.16,-0.25,0.93,9.45,3.79,-3.76
0.0001799999999999999,0.16,-0.24,0.95,10.03,3.66,-3.66
0.00018333333333333323,0.13,-0.24,1.01,6.32,-0.73,-4.31
0.00018666666666666655,0.16,-0.23,1.02,2.5,0.49,-3.98
0.00018999999999999987,0.21,-0.23,0.92,6.18,8.5,-1.71
0.0001933333333333332,0.17,-0.25,0.95,9.02,7.05,-0.53
0.00019666666666666652,0.13,-0.25,1.01,9.02,0.79,-0.29
0.00019999999999999985,0.17,-0.24,0.97,10.38,5.6,-0.66
