time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.06,-0.33,0.99,4.76,-0.05,3.42
3.3333333333333333e-06,-0.04,-0.32,1.0,4.12,-1.22,3.68
6.666666666666667e-06,-0.02,-0.32,0.97,5.54,4.7,2.52
9.999999999999999e-06,-0.06,-0.33,0.98,6.34,4.44,-0.06
1.3333333333333333e-05,-0.04,-0.32,1.03,4.41,3.37,-0.93
1.6666666666666667e-05,-0.02,-0.31,1.03,2.92,3.85,-0.34
2e-05,-0.03,-0.31,0.99,3.37,5.3,-1.28
2.3333333333333336e-05,-0.03,-0.31,1.04,0.52,4.15,-1.4
2.666666666666667e-05,-0.04,-0.3,1.06,-2.4,1.24,-3.24
3.0000000000000004e-05,-0.03,-0.3,0.99,-1.97,2.92,-4.14
3.3333333333333335e-05,-0.01,-0.3,0.99,-0.58,0.17,-3.48
3.6666666666666666e-05,-0.05,-0.3,1.03,-2.32,-6.12,-5.22
3.9999999999999996e-05,-0.02,-0.3,0.98,-2.78,-0.37,-6.93
4.333333333333333e-05,0.0,-0.3,0.99,-4.03,1.68,-8.41
4.666666666666666e-05,-0.03,-0.29,1.03,-7.59,-5.19,-9.42
4.999999999999999e-05,0.0,-0.27,1.06,-15.31,-11.42,-9.07
5.333333333333332e-05,0.02,-0.29,1.03,-19.76,-11.65,-8.15
5.666666666666665e-05,0.02,-0.28,1.01,-24.11,-10.2,-7.44
5.999999999999998e-05,0.02,-0.28,0.92,-19.04,-10.5,-8.5
6.333333333333332e-05,0.03,-0.28,0.94,-16.44,-9.04,-7.73
6.666666666666666e-05,0.04,-0.3,0.93,-10.67,-9.07,-6.4
7e-05,0.06,-0.29,0.9,-6.76,-3.53,-3.71
7.333333333333333e-05,0.05,-0.29,0.9,-1.74,-2.99,-2.35
7.666666666666667e-05,0.01,-0.28,0.93,1.15,-6.14,-2.46
8e-05,0.05,-0.29,0.93,3.07,-2.12,-1.88
8.333333333333334e-05,0.04,-0.29,0.94,2.82,-0.99,-1.86
8.666666666666668e-05,0.0,-0.28,0.95,4.11,-5.5,-1.34
9.000000000000002e-05,0.03,-0.29,0.93,5.27,-4.11,-0.63
9.333333333333336e-05,0.03,-0.28,0.95,3.66,-2.63,-0.56
9.66666666666667e-05,0.04,-0.3,0.92,5.02,2.14,-0.44
0.00010000000000000003,-0.02,-0.29,0.95,5.53,-1.07,-2.14
0.00010333333333333337,-0.0,-0.28,0.97,4.61,-0.61,-3.27
0.00010666666666666671,0.02,-0.28,0.94,5.28,3.89,-2.38
0.00011000000000000004,-0.01,-0.29,0.98,6.73,-2.32,-2.05
0.00011333333333333338,-0.01,-0.3,0.99,5.16,-8.81,-1.59
0.00011666666666666672,0.03,-0.3,0.94,6.96,-4.89,-0.81
0.00012000000000000006,-0.01,-0.3,0.97,7.82,-5.65,-2.56
0.0001233333333333334,-0.01,-0.29,1.02,6.24,-9.6,-4.79
0.00012666666666666672,0.01,-0.29,1.02,3.92,-9.54,-5.56
0.00013000000000000004,0.03,-0.27,0.95,6.52,-9.37,-4.79
0.00013333333333333337,0.04,-0.28,0.96,7.8,-12.2,-3.21
0.0001366666666666667,0.07,-0.27,0.96,6.93,-5.21,-1.24
0.00014000000000000001,0.09,-0.28,0.92,9.25,3.44,0.85
0.00014333333333333334,0.0,-0.28,0.97,10.72,-1.85,-0.56
0.00014666666666666666,-0.0,-0.27,1.05,6.24,-7.1,-2.32
0.00015,0.04,-0.25,1.04,2.14,-2.75,-2.17
0.0001533333333333333,0.03,-0.25,1.0,3.13,-0.6,-1.8
0.00015666666666666663,0.03,-0.26,1.03,2.73,-5.47,-1.51
0.00015999999999999996,-0.0,-0.25,1.0,4.31,-9.05,-1.98
0.00016333333333333328,0.03,-0.24,1.01,3.54,-4.61,-1.86
0.0001666666666666666,0.08,-0.23,0.98,7.22,-1.39,1.82
0.00016999999999999993,0.02,-0.25,0.99,8.34,-4.09,2.35
0.00017333333333333325,-0.02,-0.25,1.02,3.5,-6.08,-0.78
0.00017666666666666658,0.03,-0.23,0.97,-0.27,0.38,-1.56
0.0001799999999999999,0.04,-0.25,0.94,0.92,0.4,-0.03
0.00018333333333333323,0.01,-0.26,0.93,3.59,-4.37,0.79
0.00018666666666666655,0.01,-0.26,0.95,2.73,-2.98,-0.17
0.00018999999999999987,-0.0,-0.26,0.95,0.35,1.6,-3.04
0.0001933333333333332,0.03,-0.27,0.94,1.25,4.31,-3.42
0.00019666666666666652,0.01,-0.27,0.95,3.1,3.89,-4.26
0.00019999999999999985,0.03,-0.25,1.0,-0.08,4.53,-2.35
0.00020333333333333317,0.04,-0.24,0.96,1.08,12.02,-2.44
0.0002066666666666665,-0.0,-0.26,0.93,7.65,9.19,-3.42
0.00020999999999999982,0.01,-0.27,0.97,10.32,3.05,-1.74
0.00021333333333333314,0.0,-0.24,1.01,9.42,-1.13,-1.18
