accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.13,0.40,0.86, -5.66, 2.12, -1.45,
 -0.14,0.39,0.85, -5.47, 1.13, -0.31,
 -0.14,0.37,0.86, -3.50, -0.37, 0.96,
 -0.13,0.39,0.84, -6.23, -0.44, 1.21,
 -0.13,0.37,0.84, -4.02, 0.09, 0.21,
 -0.13,0.39,0.84, -2.96, -0.34, -2.02,
 -0.11,0.40,0.84, -5.94, 3.50, -2.02,
 -0.13,0.40,0.84, -3.42, 5.54, -1.50,
 -0.12,0.40,0.86, -4.23, 2.60, -3.30,
 -0.14,0.40,0.85, -5.01, 2.05, -2.21,
 -0.15,0.38,0.85, -2.72, -1.21, 1.94,
 -0.13,0.39,0.84, -5.98, -1.54, 0.60,
 -0.12,0.40,0.83, -6.53, -1.60, 2.31,
 -0.14,0.38,0.85, -6.84, -0.73, 1.16,
 -0.14,0.36,0.84, -3.50, 0.05, 0.78,
 -0.13,0.39,0.86, -8.56, 2.34, -0.12,
 -0.15,0.35,0.86, -3.27, 0.78, 0.11,
 -0.11,0.36,0.86, -3.60, 0.96, -0.12,
 -0.12,0.37,0.86, -7.56, 1.48, -0.56,
 -0.12,0.35,0.86, -3.73, 1.66, -1.21,
 -0.11,0.36,0.86, -6.63, 1.30, -2.27,
 -0.12,0.36,0.87, -6.26, 0.70, -2.52,
 -0.11,0.34,0.87, -4.93, 1.07, -2.70,
 -0.12,0.36,0.86, -6.40, 0.63, -3.30,
 -0.12,0.34,0.86, -6.52, 0.34, -3.69,
 -0.11,0.35,0.86, -7.27, 1.16, -3.45,
 -0.13,0.36,0.87, -4.38, 0.79, -3.22,
 -0.13,0.36,0.86, -4.34, -0.03, -3.45,
 -0.12,0.38,0.86, -8.03, 2.21, -4.78,
 -0.13,0.36,0.85, -2.87, 1.10, -3.18,
 -0.14,0.37,0.85, -3.48, 0.49, -2.52,
 -0.12,0.39,0.86, -5.94, 1.24, -2.93,
 -0.14,0.38,0.83, -6.21, 2.49, -2.52,
 -0.15,0.37,0.86, -3.62, 0.82, -1.08,
 -0.14,0.38,0.85, -5.50, 0.37, -1.60,
 -0.11,0.37,0.84, -5.19, -0.03, -0.73,
 -0.14,0.36,0.86, -3.63, -0.05, -0.06,
 -0.12,0.37,0.86, -6.41, 0.06, -0.98,
 -0.12,0.38,0.85, -6.81, 1.50, -0.53,
 -0.14,0.35,0.87, -2.29, 0.02, -0.60,
 -0.11,0.39,0.85, -5.95, 1.83, -1.11,
 -0.12,0.41,0.85, -9.54, 1.95, -2.43,
 -0.12,0.42,0.85, -6.84, 0.47, -2.50,
 -0.13,0.39,0.84, -4.85, 0.81, -1.33,
 -0.14,0.39,0.85, -5.02, 0.34, -0.67,
 -0.12,0.43,0.85, -7.27, 0.44, -1.28,
