accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.29,-0.07,0.8,-89.97,-3.68,16.87
0.31,-0.1,0.77,-85.05,4.05,17.47
0.3,-0.12,0.76,-80.93,1.65,18.08
0.31,-0.15,0.73,-73.54,7.4,19.21
0.25,-0.17,0.76,-70.53,5.65,20.58
0.25,-0.16,0.79,-73.6,5.85,19.62
0.26,-0.19,0.72,-70.17,9.02,19.59
0.24,-0.21,0.72,-66.35,7.59,19.83
0.22,-0.21,0.74,-65.5,3.82,20.5
0.24,-0.24,0.69,-64.15,9.65,20.31
0.19,-0.25,0.71,-63.92,11.45,19.11
0.18,-0.29,0.67,-58.84,8.92,19.6
0.15,-0.3,0.71,-56.7,0.23,19.65
0.14,-0.31,0.68,-51.66,-5.3,20.31
0.14,-0.33,0.63,-46.23,1.11,18.75
0.11,-0.36,0.63,-42.73,-0.35,16.56
0.12,-0.37,0.63,-39.01,-0.93,14.92
0.08,-0.38,0.68,-40.49,-7.24,12.4
0.07,-0.38,0.69,-39.76,-11.92,9.56
0.12,-0.37,0.63,-34.93,-13.1,9.45
0.15,-0.4,0.59,-28.44,-8.79,10.02
0.16,-0.42,0.55,-21.15,-2.82,10.12
0.14,-0.42,0.54,-12.78,-0.38,9.54
0.09,-0.44,0.54,-6.46,-2.34,7.65
0.08,-0.44,0.53,-0.69,-7.8,6.47
0.11,-0.45,0.57,-1.53,-8.0,5.68
0.09,-0.44,0.59,-1.11,-12.09,4.66
0.11,-0.43,0.51,5.1,-6.34,2.53
0.12,-0.44,0.48,12.11,-1.1,2.29
0.11,-0.43,0.49,19.63,-1.44,3.74
0.08,-0.43,0.48,24.02,-1.13,3.88
0.04,-0.41,0.56,23.31,-1.07,2.43
0.01,-0.41,0.62,19.25,-8.43,-0.18
0.02,-0.39,0.55,24.76,-3.69,-5.19
0.06,-0.39,0.52,34.27,0.56,-7.5
0.08,-0.4,0.59,37.57,-0.24,-7.16
0.11,-0.39,0.66,38.95,-0.12,-6.23
0.09,-0.39,0.72,37.07,-2.02,-5.4
0.09,-0.3,0.87,34.64,7.5,-7.65
0.09,-0.38,0.81,39.07,8.14,-10.4
0.12,-0.36,0.85,43.68,9.83,-9.57
0.1,-0.36,0.98,39.69,5.95,-10.56
0.13,-0.43,0.93,40.23,7.92,-10.67
0.13,-0.34,1.07,35.76,12.75,-11.88
0.1,-0.34,1.14,33.1,4.23,-11.5
0.14,-0.34,1.13,29.97,2.73,-12.41
0.18,-0.37,1.07,35.08,0.81,-8.26
0.15,-0.38,1.12,32.98,-1.28,-8.21
0.16,-0.38,1.14,27.88,1.83,-10.67
0.14,-0.37,1.1,28.11,0.85,-12.27
0.14,-0.34,1.14,27.02,-6.81,-11.74
0.16,-0.34,1.15,25.47,-11.95,-11.25
0.17,-0.35,1.11,26.17,-14.95,-10.14
0.16,-0.34,1.16,21.16,-17.91,-10.44
0.22,-0.22,1.05,21.45,-12.38,-12.02
0.22,-0.32,1.04,19.59,-7.02,-11.54
0.25,-0.31,1.06,17.21,-6.79,-8.41
0.23,-0.32,0.99,19.57,-5.6,-6.79
0.23,-0.31,1.01,19.5,-4.9,-6.17
0.22,-0.29,1.01,19.51,-4.26,-5.08
0.23,-0.29,0.98,21.25,1.51,-4.27
0.17,-0.28,1.08,16.69,-3.19,-4.41
0.17,-0.27,1.07,12.21,-4.7,-4.93
0.2,-0.27,1.0,12.24,1.33,-5.47
0.18,-0.28,1.0,13.19,-3.33,-4.79
0.18,-0.27,1.0,12.23,-9.56,-3.91
0.22,-0.27,0.93,14.96,-4.75,-4.08
0.22,-0.27,0.94,16.89,-3.86,-3.4
0.18,-0.25,1.0,15.04,-11.47,-3.22
0.16,-0.23,0.99,14.6,-11.92,-5.44
0.2,-0.24,0.98,12.21,-9.37,-6.89
0.2,-0.24,0.96,10.09,-11.51,-6.89
0.24,-0.25,0.94,12.92,-10.7,-5.21
0.23,-0.24,0.92,15.44,-10.7,-4.44
0.21,-0.24,0.94,15.42,-12.02,-5.34
0.23,-0.22,0.94,15.48,-11.73,-5.79
0.27,-0.22,0.89,20.03,-8.23,-4.02
0.24,-0.22,0.96,17.68,-12.95,-2.82
0.21,-0.22,1.04,11.59,-17.95,-4.23
0.25,-0.21,0.97,10.79,-15.02,-4.46
0.28,-0.22,0.94,11.08,-9.6,-3.8
0.25,-0.22,0.96,12.85,-11.74,-4.9
0.24,-0.21,0.94,18.72,-9.19,-3.05
0.24,-0.22,1.01,15.31,-7.4,-2.63
0.21,-0.22,1.1,6.05,-9.47,-3.51
0.23,-0.21,1.03,2.96,-7.05,-4.32
0.25,-0.22,0.94,6.73,-4.85,-4.78
0.25,-0.21,0.97,8.84,-4.93,-4.79
0.25,-0.2,0.98,9.68,-4.75,-5.05
0.25,-0.2,1.0,7.57,-3.16,-5.37
0.25,-0.19,1.0,7.48,-2.2,-5.36
0.25,-0.19,1.0,7.27,-6.06,-5.04
0.24,-0.13,0.98,8.21,-9.56,-4.72
0.25,-0.18,1.0,8.14,-7.59,-6.05
