accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.46,-0.01,0.84, -4.38, 2.53, -2.58,
 0.46,-0.01,0.82, -4.66, 2.93, -2.00,
 0.46,-0.02,0.83, -4.72, 2.76, -1.59,
 0.46,-0.02,0.84, -5.73, 2.87, -0.34,
 0.46,-0.01,0.83, -5.19, 2.56, -1.62,
 0.46,-0.01,0.86, -4.60, 3.30, -2.40,
 0.47,-0.02,0.84, -5.08, 3.34, -0.23,
 0.45,-0.02,0.84, -5.45, 2.87, -0.38,
 0.46,-0.00,0.85, -4.41, 2.89, -1.88,
 0.46,-0.01,0.85, -4.92, 4.11, -1.27,
 0.46,-0.02,0.84, -4.66, 3.30, -0.89,
 0.45,-0.02,0.85, -4.95, 3.24, -0.81,
 0.46,-0.02,0.84, -4.75, 3.13, -1.18,
 0.45,-0.03,0.83, -4.76, 3.91, -1.28,
 0.46,-0.02,0.85, -4.50, 3.98, -1.57,
 0.47,-0.02,0.84, -4.64, 5.07, -0.84,
 0.46,-0.01,0.84, -4.72, 5.16, -2.03,
 0.46,-0.03,0.84, -5.10, 5.92, -0.87,
 0.45,-0.03,0.82, -5.63, 6.41, -0.43,
 0.45,-0.03,0.84, -5.51, 7.13, -0.11,
 0.45,-0.03,0.83, -5.98, 9.74, 0.82,
 0.46,-0.03,0.83, -5.95, 11.80, 1.47,
 0.45,-0.04,0.82, -7.30, 14.27, 2.67,
 0.45,-0.04,0.82, -7.27, 16.24, 3.44,
 0.44,-0.03,0.83, -7.56, 17.56, 4.41,
 0.45,-0.03,0.81, -7.74, 19.36, 4.96,
 0.47,-0.04,0.82, -9.10, 21.82, 7.54,
 0.46,-0.04,0.82, -10.17, 23.44, 9.42,
 0.44,-0.04,0.83, -10.64, 22.26, 10.95,
 0.44,-0.05,0.82, -10.75, 22.76, 12.53,
 0.44,-0.05,0.84, -10.49, 22.18, 13.28,
 0.44,-0.03,0.84, -11.44, 22.46, 14.90,
 0.42,-0.03,0.86, -11.85, 20.32, 14.32,
 0.41,-0.02,0.90, -11.53, 15.92, 12.06,
 0.45,-0.02,0.88, -8.89, 16.76, 9.33,
 0.45,-0.00,0.91, -9.56, 18.12, 9.10,
 0.41,-0.01,0.91, -10.55, 16.03, 6.87,
 0.41,-0.01,0.90, -10.02, 13.97, 3.22,
 0.40,-0.00,0.94, -8.82, 10.11, -0.24,
