accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.22,0.20,0.91, -4.93, 0.56, -1.47,
 0.22,0.20,0.89, -5.02, 0.49, -1.36,
 0.22,0.20,0.90, -4.81, 0.38, -1.47,
 0.22,0.20,0.90, -5.24, 0.43, -1.40,
 0.23,0.20,0.90, -5.31, 0.05, -1.39,
 0.23,0.20,0.90, -5.25, 0.40, -1.53,
 0.22,0.20,0.91, -5.16, 0.20, -1.50,
 0.23,0.20,0.90, -5.37, 0.37, -1.62,
 0.24,0.20,0.91, -5.80, 0.81, -1.54,
 0.23,0.20,0.90, -5.80, 0.69, -2.02,
 0.23,0.20,0.89, -5.56, 0.89, -1.94,
 0.23,0.20,0.89, -5.47, 1.16, -1.86,
 0.24,0.19,0.90, -5.24, 1.24, -1.56,
 0.24,0.19,0.90, -5.15, 1.44, -1.34,
 0.24,0.19,0.89, -4.58, 1.56, -1.15,
 0.23,0.19,0.89, -4.60, 1.53, -0.98,
 0.23,0.19,0.89, -4.47, 1.76, -0.87,
 0.23,0.19,0.89, -4.21, 1.85, -0.78,
 0.23,0.20,0.89, -3.98, 1.16, -0.89,
 0.24,0.20,0.90, -3.59, 1.10, -0.70,
 0.23,0.20,0.90, -4.24, 1.39, -1.07,
 0.23,0.20,0.90, -4.49, 1.45, -0.90,
 0.23,0.20,0.90, -4.60, 1.24, -0.93,
 0.23,0.20,0.90, -4.37, 0.93, -1.04,
 0.23,0.20,0.91, -4.52, 0.70, -0.89,
 0.23,0.20,0.91, -4.41, 0.50, -1.02,
 0.24,0.20,0.90, -4.40, 0.67, -0.55,
 0.23,0.19,0.91, -4.49, 0.76, -0.40,
 0.23,0.19,0.91, -4.95, 0.63, -0.26,
 0.23,0.19,0.90, -4.78, 0.63, -0.69,
 0.23,0.19,0.90, -4.37, 0.23, -0.50,
 0.22,0.19,0.90, -3.80, -0.06, -0.53,
 0.22,0.18,0.90, -3.62, -0.87, -0.46,
 0.22,0.20,0.90, -3.27, -2.29, -0.31,
 0.22,0.19,0.90, -3.13, -3.22, -0.26,
 0.23,0.20,0.91, -3.05, -3.51, 0.11,
 0.24,0.19,0.89, -3.21, -3.71, -0.05,
 0.23,0.19,0.90, -3.02, -3.82, 0.09,
 0.24,0.20,0.90, -3.28, -3.21, 0.03,
 0.23,0.20,0.91, -3.66, -2.56, -0.11,
 0.23,0.20,0.91, -4.17, -2.29, 0.05,
 0.23,0.20,0.91, -4.31, -2.08, -0.12,
 0.23,0.20,0.91, -4.46, -2.56, -0.31,
 0.23,0.20,0.91, -4.49, -2.72, -0.58,
 0.23,0.20,0.90, -4.55, -2.70, -0.98,
 0.22,0.20,0.90, -4.69, -3.08, -0.89,
 0.23,0.20,0.91, -4.52, -2.31, -0.96,
 0.24,0.20,0.90, -4.49, -2.21, -1.08,
 0.25,0.19,0.90, -4.75, -1.94, -1.05,
 0.24,0.20,0.90, -4.64, -1.11, -1.02,
 0.25,0.19,0.91, -5.18, 0.12, -1.16,
 0.25,0.20,0.90, -6.09, 1.91, -1.65,
 0.26,0.19,0.91, -6.95, 3.60, -1.77,
 0.27,0.20,0.90, -7.08, 5.04, -1.97,
 0.26,0.18,0.90, -6.61, 6.58, -2.56,
 0.27,0.18,0.89, -5.91, 8.37, -2.31,
 0.29,0.18,0.88, -5.34, 10.40, -1.71,
 0.30,0.18,0.87, -4.89, 13.92, -0.50,
 0.33,0.19,0.87, -4.46, 19.13, 1.65,
 0.35,0.19,0.88, -5.18, 23.68, 5.30,
 0.34,0.18,0.89, -5.79, 28.60, 6.50,
 0.34,0.18,0.87, -5.59, 35.68, 5.66,
 0.33,0.18,0.87, -6.09, 46.21, 2.11,
 0.31,0.17,0.87, -6.52, 59.85, -3.59,
 0.33,0.16,0.86, -7.40, 79.92, -15.36,
 0.35,0.16,0.84, -7.88, 107.45, -27.34,
 0.36,0.15,0.81, -8.73, 136.20, -36.78,
 0.40,0.11,0.82, -2.84, 175.57, -45.63,
 0.38,0.15,0.76, -2.20, 202.99, -51.80,
 0.28,0.15,0.79, -0.99, 222.46, -56.34,
 0.27,0.14,0.80, 0.69, 241.24, -60.09,
 0.23,0.14,0.80, 1.66, 255.11, -62.18,
 0.19,0.14,0.78, 3.01, 266.53, -66.40,
 0.15,0.13,0.80, 4.20, 276.95, -68.31,
 0.09,0.15,0.79, 4.12, 279.66, -66.82,
 0.07,0.13,0.80, 6.11, 279.79, -63.79,
 0.02,0.15,0.80, 5.02, 274.56, -57.28,
 0.00,0.17,0.82, 2.08, 268.14, -49.65,
 -0.06,0.21,0.85, 2.03, 258.56, -41.10,
 -0.09,0.24,0.88, -0.98, 249.63, -30.82,
 -0.13,0.27,0.91, -6.32, 237.62, -19.18,
 -0.22,0.30,0.92, -10.89, 225.40, -8.82,
 -0.28,0.28,0.92, -13.15, 215.07, -3.63,
 -0.35,0.28,0.91, -14.93, 204.67, -1.53,
 -0.40,0.26,0.89, -17.37, 197.88, -2.66,
 -0.41,0.26,0.86, -16.35, 197.37, -7.24,
 -0.45,0.25,0.85, -13.82, 196.70, -13.66,
 -0.47,0.25,0.86, -13.30, 197.79, -20.96,
 -0.45,0.23,0.85, -14.11, 202.49, -26.11,
 -0.47,0.22,0.82, -14.56, 208.08, -32.06,
 -0.49,0.23,0.80, -14.76, 214.82, -37.71,
 -0.49,0.21,0.78, -15.40, 220.55, -41.51,
 -0.51,0.18,0.74, -17.36, 224.98, -44.85,
 -0.53,0.17,0.73, -18.46, 223.89, -47.30,
 -0.57,0.18,0.70, -19.11, 222.20, -48.38,
 -0.57,0.16,0.71, -20.05, 217.25, -47.31,
 -0.57,0.15,0.69, -20.24, 210.84, -45.37,
 -0.60,0.19,0.70, -23.40, 203.42, -40.82,
 -0.62,0.17,0.69, -25.65, 195.42, -37.68,
 -0.65,0.17,0.68, -28.21, 185.30, -35.56,
 -0.66,0.18,0.65, -27.97, 185.30, -36.53,
 -0.67,0.19,0.65, -30.96, 183.40, -36.81,
 -0.65,0.16,0.66, -30.34, 188.02, -37.86,
 -0.69,0.19,0.63, -30.69, 192.23, -37.13,
 -0.72,0.12,0.61, -28.96, 194.26, -36.73,
 -0.79,0.12,0.53, -28.52, 186.26, -35.79,
