accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.51,0.19,0.80, -2.99, 2.82, -0.46,
 0.50,0.19,0.81, -2.99, 3.16, -0.41,
 0.50,0.19,0.81, -3.13, 3.44, -0.49,
 0.49,0.19,0.80, -3.63, 3.89, -0.73,
 0.51,0.19,0.80, -4.12, 4.27, -0.87,
 0.51,0.19,0.80, -4.27, 4.15, -0.96,
 0.44,0.19,0.87, -7.92, -3.89, -4.15,
 0.52,0.18,0.78, -6.18, -0.70, -3.62,
 0.54,0.18,0.76, -6.08, 5.59, -0.32,
 0.52,0.18,0.81, -4.24, 4.35, -0.69,
 0.50,0.18,0.78, -3.45, 2.89, -1.22,
 0.49,0.19,0.79, -3.83, 3.27, -1.63,
 0.50,0.19,0.80, -4.06, 2.82, -1.59,
 0.50,0.19,0.79, -4.02, 2.18, -1.24,
 0.49,0.19,0.80, -4.11, 2.09, -1.68,
 0.49,0.19,0.79, -4.70, 2.52, -1.73,
 0.51,0.18,0.80, -5.48, 3.37, -1.69,
 0.51,0.18,0.78, -5.57, 3.37, -1.66,
 0.50,0.19,0.80, -5.39, 2.79, -1.86,
 0.50,0.18,0.79, -5.25, 2.03, -2.27,
 0.50,0.18,0.79, -5.36, 1.62, -2.26,
 0.50,0.19,0.79, -5.39, 1.22, -2.12,
 0.50,0.19,0.80, -5.39, 0.89, -1.92,
 0.49,0.19,0.80, -5.53, 0.89, -1.69,
 0.49,0.19,0.79, -5.53, 0.56, -1.48,
 0.51,0.19,0.80, -5.60, 0.72, -0.41,
 0.52,0.20,0.82, -5.73, -1.69, 1.73,
 0.49,0.20,0.80, -4.40, 0.49, 0.12,
 0.49,0.19,0.79, -5.62, 0.02, 1.10,
 0.52,0.19,0.81, -5.24, 1.02, -0.26,
 0.51,0.18,0.80, -4.90, 1.47, -0.38,
 0.51,0.18,0.81, -4.95, 2.67, -0.09,
 0.51,0.18,0.80, -4.63, 3.15, -0.89,
 0.51,0.18,0.80, -4.41, 2.93, -0.20,
 0.51,0.18,0.80, -3.74, 3.05, -0.43,
 0.50,0.18,0.80, -3.16, 2.47, -0.64,
 0.49,0.18,0.81, -3.76, 2.67, -0.21,
 0.50,0.18,0.81, -4.05, 3.10, -0.40,
 0.50,0.18,0.82, -4.67, 3.01, -0.41,
 0.49,0.18,0.81, -4.89, 3.11, -0.72,
 0.50,0.19,0.81, -4.98, 3.36, -0.75,
 0.50,0.19,0.81, -5.30, 3.50, -1.05,
 0.50,0.19,0.80, -5.10, 3.80, -1.19,
 0.51,0.18,0.81, -5.30, 3.92, -1.30,
 0.52,0.19,0.80, -5.30, 4.58, -1.33,
 0.51,0.19,0.80, -5.40, 4.43, -1.18,
 0.52,0.20,0.80, -5.68, 4.20, -0.96,
 0.52,0.20,0.80, -5.74, 3.95, -0.46,
 0.53,0.20,0.80, -6.09, 3.22, 0.23,
 0.52,0.20,0.80, -6.18, 2.76, 0.26,
 0.52,0.19,0.80, -6.55, 2.24, 0.76,
 0.52,0.19,0.79, -6.52, 2.09, 0.82,
 0.52,0.19,0.78, -6.40, 1.71, 1.08,
 0.52,0.19,0.78, -6.09, 1.76, 0.60,
