accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.45,0.08,0.80, -13.85, 21.47, -5.80,
 0.45,0.07,0.77, -12.43, 26.23, -6.84,
 0.45,0.08,0.76, -10.27, 31.62, -7.22,
 0.42,0.08,0.76, -2.60, 40.06, -5.73,
 0.38,0.09,0.79, 3.48, 34.56, -4.26,
 0.36,0.11,0.83, 6.17, 19.97, -3.25,
 0.37,0.12,0.86, 5.74, 7.53, 0.84,
 0.39,0.12,0.88, 4.49, 2.46, 3.98,
 0.39,0.13,0.89, 3.54, 2.90, 3.57,
 0.38,0.14,0.91, 2.06, 5.05, 0.26,
 0.38,0.14,0.92, -0.32, 5.91, -2.56,
 0.38,0.15,0.91, -3.19, 6.44, -3.74,
 0.40,0.13,0.89, -5.62, 7.19, -3.97,
 0.41,0.12,0.88, -7.40, 7.88, -3.73,
 0.41,0.12,0.88, -9.11, 8.96, -4.40,
 0.41,0.11,0.85, -13.08, 7.57, -7.59,
 0.42,0.10,0.86, -13.63, 9.44, -5.16,
 0.41,0.10,0.84, -11.13, 11.65, -4.09,
 0.39,0.12,0.83, -7.53, 11.63, -2.27,
 0.37,0.11,0.85, -5.69, 9.47, 0.18,
 0.37,0.10,0.86, -5.15, 6.89, -1.51,
 0.38,0.15,0.88, -5.74, 3.86, 4.64,
 0.38,0.16,0.89, -6.66, -0.41, 10.47,
 0.40,0.13,0.91, -7.50, -4.37, 13.01,
 0.38,0.12,0.90, -8.70, -7.51, 12.17,
 0.37,0.16,0.89, -10.09, -10.31, 13.77,
 0.36,0.12,0.88, -10.90, -12.58, 10.08,
 0.38,0.13,0.85, -9.34, -11.59, 8.78,
 0.40,0.11,0.82, -6.99, -9.31, 9.50,
 0.45,0.08,0.81, -5.01, -4.06, 11.60,
 0.44,0.06,0.78, -3.89, -0.12, 13.07,
 0.40,0.08,0.81, -2.58, -4.40, 12.09,
 0.39,0.10,0.84, -2.38, -12.32, 10.98,
 0.37,0.10,0.86, -1.76, -16.89, 6.08,
 0.37,0.12,0.88, -1.63, -13.22, 0.61,
 0.39,0.13,0.87, -1.27, -2.24, -3.94,
 0.43,0.09,0.86, -0.11, 9.36, -7.16,
 0.45,0.10,0.86, -1.27, 15.08, -8.73,
 0.47,0.14,0.88, -5.54, 14.55, -8.98,
 0.45,0.13,0.92, -9.74, 10.63, -9.27,
 0.43,0.13,0.91, -12.85, 6.99, -10.03,
 0.40,0.13,0.88, -14.08, 4.90, -11.27,
 0.38,0.12,0.85, -13.53, 4.53, -12.82,
 0.38,0.10,0.83, -12.06, 4.44, -15.13,
 0.38,0.10,0.84, -11.65, 3.79, -17.56,
 0.40,0.09,0.84, -9.77, 3.15, -16.26,
 0.40,0.10,0.84, -7.24, 2.32, -12.52,
 0.39,0.09,0.84, -5.50, 1.39, -9.30,
 0.39,0.09,0.84, -4.08, 2.15, -7.56,
 0.40,0.09,0.85, -2.82, 3.95, -6.63,
 0.41,0.10,0.85, -2.82, 4.95, -5.08,
 0.40,0.10,0.86, -3.33, 4.06, -2.84,
 0.39,0.11,0.87, -3.66, 0.87, 0.63,
 0.39,0.12,0.87, -4.52, -4.15, 3.13,
 0.39,0.13,0.89, -7.07, -9.69, 4.99,
 0.40,0.12,0.89, -10.17, -12.09, 5.89,
 0.41,0.11,0.89, -11.33, -11.60, 3.82,
 0.40,0.11,0.88, -13.30, -11.08, -2.21,
 0.42,0.11,0.85, -11.36, -4.81, -3.15,
 0.42,0.10,0.83, -9.69, 1.91, -6.06,
 0.42,0.10,0.84, -8.70, 4.81, -9.68,
 0.41,0.10,0.85, -7.50, 5.62, -10.69,
 0.40,0.10,0.84, -5.92, 3.98, -9.44,
 0.40,0.11,0.85, -5.07, 2.46, -7.30,
 0.39,0.11,0.85, -5.16, 1.73, -6.02,
 0.40,0.11,0.86, -4.75, 1.68, -6.50,
 0.40,0.12,0.86, -3.98, 2.64, -7.08,
 0.40,0.11,0.84, -3.31, 4.79, -6.89,
 0.38,0.10,0.84, -2.44, 6.06, -6.82,
 0.39,0.10,0.85, -2.79, 5.11, -6.00,
 0.39,0.10,0.85, -2.96, 2.53, -5.40,
 0.39,0.11,0.85, -2.96, -0.24, -5.21,
 0.40,0.10,0.86, -2.47, -0.89, -5.88,
 0.40,0.11,0.86, -1.94, 0.18, -7.98,
 0.40,0.10,0.84, -0.49, 3.89, -8.06,
 0.40,0.10,0.83, 1.25, 7.45, -8.05,
 0.40,0.11,0.83, 2.15, 8.60, -8.82,
 0.41,0.11,0.85, 2.15, 7.50, -9.30,
 0.41,0.11,0.86, 1.22, 2.90, -7.27,
 0.42,0.12,0.88, -0.70, -2.09, -2.37,
 0.41,0.13,0.88, -2.82, -6.37, 1.54,
 0.40,0.13,0.88, -4.26, -8.31, 2.84,
 0.39,0.14,0.89, -5.98, -7.92, 2.41,
 0.40,0.13,0.89, -6.47, -6.61, 1.89,
 0.39,0.13,0.88, -6.11, -4.67, 0.73,
 0.40,0.13,0.87, -5.51, -1.31, -0.96,
 0.41,0.13,0.86, -5.24, 1.13, -2.24,
 0.42,0.12,0.85, -5.01, 1.92, -3.34,
 0.42,0.13,0.87, -4.79, 0.84, -4.15,
 0.42,0.13,0.87, -4.34, -0.23, -3.73,
 0.42,0.12,0.87, -3.66, 0.18, -3.28,
 0.42,0.12,0.87, -3.53, 1.79, -4.15,
 0.42,0.13,0.87, -3.24, 4.34, -4.61,
 0.41,0.12,0.86, -2.53, 6.70, -5.57,
 0.41,0.11,0.85, -2.14, 7.73, -5.79,
 0.40,0.11,0.86, -2.69, 7.33, -5.19,
 0.41,0.12,0.86, -3.27, 5.66, -3.88,
