accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.20,0.30,0.89, -5.34, 1.33, -0.56,
 0.20,0.31,0.89, -5.16, 1.34, -0.67,
 0.20,0.31,0.89, -5.36, 1.33, -0.38,
 0.20,0.31,0.88, -5.60, 1.01, -0.72,
 0.20,0.30,0.89, -5.28, 0.50, -0.98,
 0.21,0.31,0.89, -5.63, 0.61, -0.99,
 0.21,0.31,0.88, -5.68, 0.79, -0.96,
 0.21,0.30,0.88, -5.59, 1.15, -0.52,
 0.20,0.30,0.86, -5.22, 0.96, -0.29,
 0.21,0.30,0.88, -5.57, 1.21, -0.23,
 0.21,0.30,0.88, -5.73, 0.90, 0.03,
 0.20,0.30,0.87, -5.36, 0.89, 0.27,
 0.20,0.30,0.89, -5.53, 0.56, 0.32,
 0.19,0.31,0.88, -5.79, -0.05, -0.17,
 0.19,0.30,0.87, -5.74, -0.03, -0.23,
 0.19,0.30,0.89, -5.82, -0.09, -0.43,
 0.19,0.30,0.88, -5.59, 0.37, -0.75,
 0.19,0.29,0.87, -5.07, 0.72, -1.11,
 0.20,0.29,0.87, -4.60, 1.04, -1.36,
 0.20,0.30,0.87, -4.47, 1.48, -1.92,
 0.20,0.30,0.88, -4.64, 1.92, -2.09,
 0.20,0.30,0.88, -5.19, 2.06, -2.18,
 0.20,0.30,0.88, -5.39, 1.80, -2.20,
 0.20,0.30,0.89, -5.88, 1.33, -2.15,
 0.21,0.30,0.89, -6.03, 0.95, -1.69,
 0.21,0.30,0.89, -6.08, 0.49, -1.34,
 0.21,0.31,0.89, -5.91, 0.06, -1.18,
 0.20,0.31,0.89, -6.12, -0.35, -0.98,
 0.20,0.30,0.88, -6.17, -0.73, -0.89,
 0.21,0.30,0.88, -6.21, -0.79, -0.63,
 0.21,0.29,0.88, -6.05, -0.43, -0.44,
 0.21,0.30,0.88, -5.45, -0.21, -0.15,
 0.20,0.29,0.87, -5.36, -0.43, 0.23,
 0.20,0.30,0.87, -5.44, -0.31, 0.24,
 0.21,0.30,0.88, -5.15, -0.52, -0.06,
 0.21,0.30,0.88, -5.30, 0.11, -0.06,
 0.20,0.30,0.88, -5.31, 0.14, -0.52,
 0.20,0.30,0.89, -5.47, 0.43, -0.90,
 0.20,0.31,0.89, -5.94, 0.46, -1.34,
 0.19,0.31,0.89, -6.43, 0.18, -1.30,
 0.19,0.31,0.90, -6.53, -0.53, -0.87,
 0.19,0.30,0.88, -6.58, -1.97, -0.96,
 0.19,0.30,0.88, -6.85, -2.81, -0.72,
 0.20,0.30,0.88, -6.63, -3.57, -0.12,
 0.19,0.30,0.88, -7.01, -4.53, -0.02,
 0.19,0.30,0.88, -7.44, -5.74, -0.08,
 0.19,0.29,0.88, -7.30, -6.52, 0.15,
 0.19,0.30,0.88, -7.50, -7.53, 0.38,
 0.18,0.30,0.88, -7.91, -9.27, 0.53,
 0.20,0.30,0.90, -8.21, -11.10, 1.83,
 0.19,0.30,0.90, -8.84, -13.69, 3.19,
 0.18,0.30,0.89, -8.93, -16.72, 4.31,
 0.18,0.31,0.91, -9.50, -20.41, 5.79,
 0.18,0.30,0.89, -9.62, -25.22, 6.90,
 0.17,0.30,0.89, -9.63, -29.77, 7.71,
 0.17,0.30,0.89, -10.44, -35.13, 7.94,
 0.18,0.29,0.89, -11.16, -40.44, 8.14,
 0.17,0.28,0.88, -11.89, -44.89, 8.11,
 0.19,0.29,0.89, -12.84, -48.02, 7.80,
 0.21,0.30,0.89, -14.21, -50.61, 8.64,
 0.23,0.29,0.89, -15.15, -53.01, 9.71,
 0.24,0.28,0.90, -15.69, -56.26, 10.76,
 0.23,0.29,0.89, -16.95, -60.34, 12.44,
 0.25,0.27,0.89, -16.92, -65.18, 14.50,
 0.26,0.27,0.89, -17.40, -69.91, 15.98,
 0.27,0.26,0.89, -16.87, -74.89, 18.26,
 0.28,0.27,0.88, -18.56, -80.09, 21.21,
 0.29,0.25,0.88, -19.13, -85.88, 22.24,
 0.29,0.24,0.87, -18.58, -92.29, 24.53,
 0.30,0.24,0.87, -19.07, -96.98, 25.13,
 0.32,0.23,0.86, -19.85, -99.04, 25.30,
 0.32,0.22,0.85, -19.85, -100.15, 23.83,
 0.33,0.21,0.84, -20.53, -99.34, 21.08,
 0.35,0.20,0.84, -20.84, -97.98, 17.69,
 0.38,0.19,0.82, -21.07, -94.58, 14.58,
 0.39,0.19,0.81, -20.15, -91.56, 12.67,
 0.40,0.18,0.81, -19.21, -89.63, 12.55,
 0.39,0.18,0.80, -17.59, -89.71, 11.74,
 0.38,0.18,0.80, -14.43, -92.21, 12.06,
 0.36,0.18,0.82, -12.17, -97.33, 14.23,
