accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.47,0.18,0.87, -10.05, 3.92, -5.62,
 0.47,0.17,0.85, -10.11, 4.34, -5.48,
 0.46,0.17,0.86, -10.03, 4.81, -5.10,
 0.47,0.16,0.85, -9.44, 5.92, -3.45,
 0.46,0.16,0.83, -8.56, 6.60, -2.11,
 0.46,0.17,0.82, -7.89, 6.76, -0.47,
 0.45,0.16,0.81, -7.63, 6.96, 1.21,
 0.44,0.16,0.82, -6.73, 7.63, 2.15,
 0.43,0.16,0.81, -5.89, 7.92, 2.58,
 0.42,0.16,0.81, -5.60, 7.85, 2.47,
 0.42,0.16,0.81, -5.42, 7.45, 1.89,
 0.42,0.16,0.81, -5.37, 7.28, 1.16,
 0.41,0.16,0.81, -5.39, 7.13, 0.20,
 0.42,0.15,0.81, -5.24, 7.25, -0.49,
 0.41,0.15,0.81, -4.82, 7.25, -0.89,
 0.40,0.15,0.79, -4.26, 7.40, -1.28,
 0.41,0.15,0.79, -3.27, 7.31, -1.56,
 0.40,0.16,0.79, -2.17, 6.89, -1.22,
 0.39,0.17,0.79, -1.13, 5.97, -0.58,
 0.39,0.17,0.80, -0.08, 4.75, -0.02,
 0.37,0.18,0.81, 0.46, 3.69, -0.32,
 0.36,0.19,0.81, 0.43, 2.76, -0.98,
 0.36,0.20,0.83, 0.49, 2.20, -1.83,
 0.36,0.20,0.83, 0.11, 1.66, -2.60,
 0.37,0.20,0.84, -0.53, 1.57, -3.48,
 0.37,0.20,0.84, -1.39, 1.88, -4.15,
 0.37,0.20,0.86, -1.53, 1.88, -4.31,
 0.37,0.20,0.85, -1.85, 1.50, -4.52,
 0.37,0.20,0.86, -2.27, 0.82, -4.95,
 0.37,0.20,0.85, -3.07, 0.00, -4.69,
 0.37,0.20,0.85, -3.44, -0.78, -4.99,
 0.36,0.21,0.86, -3.69, -1.50, -5.08,
 0.36,0.22,0.85, -3.89, -1.59, -5.21,
 0.36,0.21,0.85, -4.03, -1.66, -5.33,
 0.36,0.21,0.85, -4.15, -2.58, -6.14,
 0.37,0.20,0.85, -3.86, -3.15, -6.79,
 0.39,0.21,0.86, -3.85, -4.00, -7.79,
 0.40,0.20,0.86, -3.66, -4.20, -8.47,
 0.41,0.21,0.86, -3.68, -3.91, -8.73,
 0.41,0.21,0.87, -3.82, -2.72, -9.11,
 0.41,0.20,0.86, -3.56, -1.16, -9.02,
 0.41,0.20,0.87, -3.34, 0.09, -9.16,
 0.40,0.20,0.87, -2.79, 0.96, -9.36,
 0.41,0.20,0.86, -3.25, 1.97, -8.95,
 0.41,0.21,0.86, -3.65, 3.62, -7.83,
 0.40,0.21,0.86, -3.68, 3.53, -7.66,
 0.40,0.21,0.87, -3.01, 4.23, -6.26,
 0.39,0.21,0.86, -3.36, 4.53, -5.97,
 0.39,0.21,0.87, -3.77, 5.59, -6.41,
 0.38,0.21,0.86, -4.24, 7.36, -6.47,
 0.38,0.21,0.86, -4.24, 8.00, -7.37,
 0.38,0.20,0.87, -4.08, 8.15, -8.35,
 0.38,0.20,0.87, -4.69, 8.17, -8.44,
 0.38,0.20,0.86, -5.28, 7.45, -8.47,
 0.38,0.20,0.87, -5.08, 6.87, -8.75,
 0.38,0.19,0.87, -3.73, 8.24, -9.24,
 0.38,0.21,0.88, -6.55, 6.52, -8.66,
 0.38,0.21,0.87, -5.82, 4.99, -8.32,
 0.38,0.21,0.87, -6.96, 4.20, -8.08,
 0.39,0.20,0.87, -6.70, 3.73, -7.95,
 0.40,0.21,0.87, -6.70, 3.28, -8.27,
 0.39,0.20,0.85, -7.24, 4.05, -8.18,
 0.39,0.20,0.86, -6.52, 4.50, -8.26,
 0.39,0.20,0.85, -6.50, 4.34, -8.60,
 0.39,0.19,0.86, -6.58, 3.88, -8.81,
 0.38,0.19,0.85, -7.27, 4.53, -9.08,
 0.39,0.19,0.86, -6.14, 3.97, -8.99,
 0.39,0.20,0.86, -6.81, 3.68, -9.10,
 0.39,0.20,0.86, -7.56, 4.87, -9.04,
 0.39,0.21,0.86, -7.28, 4.98, -8.82,
 0.39,0.20,0.86, -7.69, 5.18, -9.39,
