accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
-0.06,0.07,1.07,-6.23,-19.18,-8.63
-0.05,0.09,1.1,-7.66,-21.34,-11.5
-0.02,0.12,1.14,-11.34,-27.66,-11.86
0.02,0.1,1.08,-13.25,-29.57,-12.96
0.05,0.07,1.02,-11.01,-28.34,-14.78
0.1,0.07,1.02,-11.66,-27.83,-12.82
0.12,0.04,0.96,-7.71,-21.73,-11.79
0.1,0.04,0.94,-3.3,-19.56,-12.98
0.07,0.08,0.95,4.85,-27.69,-10.85
0.17,0.04,0.92,6.2,-22.78,-4.81
0.17,0.04,0.91,11.13,-16.43,-0.4
0.14,0.04,0.89,13.36,-3.3,-2.02
0.14,0.07,0.96,11.48,2.27,0.17
0.12,0.06,0.91,14.41,5.91,0.52
0.09,0.11,0.98,15.56,3.31,2.21
0.1,0.11,1.01,14.27,7.44,3.79
0.07,0.1,1.02,15.71,5.07,4.93
0.05,0.1,1.01,19.82,3.57,4.61
0.03,0.1,1.03,18.64,3.24,4.38
-0.0,0.11,1.12,8.67,1.18,1.88
-0.02,0.1,1.12,1.62,-4.61,-2.11
-0.04,0.11,1.1,-1.73,-15.95,-5.16
0.01,0.12,1.08,-1.02,-17.65,-7.18
0.13,0.16,1.1,-10.27,-5.65,-6.44
0.08,0.15,1.08,-12.67,-4.99,-5.48
0.08,0.13,1.05,-12.75,-5.66,-5.69
0.07,0.12,1.05,-13.8,-1.4,-8.4
0.03,0.13,1.04,-11.39,-8.52,-9.02
0.09,0.13,1.06,-13.6,-6.49,-9.34
0.13,0.12,1.05,-18.37,-9.63,-5.94
0.1,0.12,1.05,-22.44,-4.99,-4.2
0.08,0.13,1.03,-24.41,-9.88,-3.85
0.09,0.09,0.97,-23.39,-6.72,-4.06
0.07,0.06,0.93,-18.15,-7.85,-3.27
0.1,0.05,0.91,-10.38,-5.57,-1.83
0.08,0.05,0.93,1.27,-4.53,-0.78
0.08,0.09,0.95,-2.98,-3.69,-0.06
0.03,0.04,0.97,-5.05,-9.68,-0.6
0.08,0.13,1.05,-7.92,-22.61,7.56
0.04,0.14,1.06,-6.73,-31.33,12.6
-0.02,0.14,1.13,-13.65,-42.7,11.53
0.02,0.1,1.03,-13.44,-40.9,3.74
0.09,0.07,1.0,-13.05,-37.74,-1.47
